layer_idx,variant,weight_name,cosine_abs
21,gemma_trevorjs,o_proj.weight,0.002601
22,gemma_trevorjs,o_proj.weight,0.039247
23,gemma_trevorjs,o_proj.weight,0.039336
24,gemma_trevorjs,o_proj.weight,0.033651
25,gemma_trevorjs,o_proj.weight,0.02447
26,gemma_trevorjs,o_proj.weight,0.026043
27,gemma_trevorjs,o_proj.weight,0.068615
28,gemma_trevorjs,o_proj.weight,0.055665
29,gemma_trevorjs,o_proj.weight,0.036731
30,gemma_trevorjs,o_proj.weight,0.06043
31,gemma_trevorjs,o_proj.weight,0.047206
32,gemma_trevorjs,o_proj.weight,0.021509
33,gemma_trevorjs,o_proj.weight,0.024143
34,gemma_trevorjs,o_proj.weight,0.022385
35,gemma_trevorjs,o_proj.weight,0.042707
36,gemma_trevorjs,o_proj.weight,0.002955
37,gemma_trevorjs,o_proj.weight,0.013385
38,gemma_trevorjs,o_proj.weight,0.007372
39,gemma_trevorjs,o_proj.weight,0.02315
40,gemma_trevorjs,o_proj.weight,0.017821
41,gemma_trevorjs,o_proj.weight,0.013946
